BFILE,BINARY
BINARY_DOUBLE,DOUBLE
BINARY_FLOAT,DOUBLE
BLOB,BINARY
CHAR,STRING
CHAR VARYING,STRING
CHARACTER,STRING
CHARACTER VARYING,STRING
CLOB,TEXT
DATE,DATE/TIME
DEC,DECIMAL
DECIMAL,DECIMAL
DOUBLE PRECISION,DOUBLE
FLOAT,DOUBLE
INT,DECIMAL
INTEGER,DECIMAL
INTERVAL DAY TO SECOND,STRING
INTERVAL YEAR TO MONTH,STRING
LONG,TEXT
LONG RAW,BINARY
NATIONAL CHAR,STRING
NATIONAL CHAR VARYING,STRING
NATIONAL CHARACTER,STRING
NATIONAL CHARACTER VARYING,STRING
NCHAR,STRING
NCHAR VARYING,STRING
NCLOB,TEXT
NUMBER,DOUBLE
NUMERIC,DECIMAL
NVARCHAR2,STRING
RAW,BINARY
REAL,DOUBLE
ROWID,STRING
SMALLINT,DECIMAL
TIMESTAMP,DATE/TIME
TIMESTAMP WITH TIME ZONE,STRING
TIMESTAMP WITH LOCAL TIME ZONE,DATE/TIME
UROWID,STRING
VARCHAR,STRING
VARCHAR2,STRING
XMLTYPE,TEXT
